Folder,File,Mean_Error,Max_Error,Anomaly_Ratio
valve1,0.csv,92.42589694536984,93.91296662851401,1.0
valve1,1.csv,93.83957733926698,95.50002429035611,1.0
valve1,2.csv,94.5727952872021,96.08905878915394,1.0
valve1,3.csv,94.94575030960614,95.9598329710935,1.0
valve1,4.csv,94.97837011414761,96.35918625189441,1.0
valve1,5.csv,94.97116996057221,96.21940632721952,1.0
valve1,6.csv,95.20051860652596,96.33021835581808,1.0
valve1,7.csv,95.2459605897665,96.93317221333403,1.0
valve1,8.csv,95.44424418710989,96.53043601012322,1.0
valve1,9.csv,95.86156392716836,97.93977062535468,1.0
valve1,10.csv,95.87791671417621,97.9030347480049,1.0
valve1,11.csv,96.12458913335306,98.27962073092579,1.0
valve1,12.csv,96.20260766263587,98.21550231385729,1.0
valve1,13.csv,97.06788068272905,99.83585407125582,1.0
valve1,14.csv,96.49295536995997,98.89592932423116,1.0
valve1,15.csv,96.9895003791856,101.35320985540459,1.0
valve2,0.csv,95.93065251104655,98.10149964459546,1.0
valve2,1.csv,96.4631443436262,97.61318025058917,1.0
valve2,2.csv,96.33327174775604,97.96226366663177,1.0
valve2,3.csv,96.48864816160189,97.77641162219825,1.0
other,1.csv,54.82378121542535,56.68187725903787,1.0
other,2.csv,54.83431161985564,56.82341837388181,1.0
other,3.csv,54.52068571119342,55.97621316149972,1.0
other,4.csv,54.70210738323306,56.9953842385268,1.0
other,5.csv,53.20935993185611,171.42314628994296,0.41125541125541126
other,6.csv,41.963547793620556,150.26757661821094,0.46033129904097647
other,7.csv,36.49218240004695,148.04780015798084,0.5853211009174312
other,8.csv,2.555443450128976,136.64262977702026,0.45858761987794244
other,9.csv,45.885660091651836,153.12475754272393,0.9903846153846154
other,10.csv,7.488743435777561,13.176639776635984,1.0
other,11.csv,11.284368525675005,15.92970260665345,1.0
other,12.csv,22.83232702369163,79.25210715388593,1.0
other,13.csv,22.217399951178077,79.4029733230401,1.0
other,14.csv,11.916268119880623,107.94365723684948,1.0
